province,return_period,original_fit_rr,rr_bootstrap_median,rr_lower_95,rr_upper_95,rr_valid_bootstraps,original_fit_ric,ric_bootstrap_median,ric_lower_95,ric_upper_95,ric_valid_bootstraps
Guizhou Province,12.795789325234312,1.756687766620196,1.7683111585003557,1.2271348116413596,2.8499744074932782,1000,-18.746734727594408,-18.90656244407834,-29.456738557459133,-8.031863570050762,1000
Guizhou Province,12.97726161794703,1.764378940292638,1.774760865528255,1.2283983506792822,2.874696401941168,1000,-18.70344722426227,-18.842428853841845,-29.36537258356247,-8.012329822079938,1000
Guizhou Province,13.161307584872835,1.7721518427325098,1.7820021354557543,1.229683960185284,2.89613950566946,1000,-18.66139697266692,-18.778150487461602,-29.312469558019213,-7.977695688261543,1000
Guizhou Province,13.34796372634384,1.7800071697837625,1.7901887664755696,1.2314503999477553,2.9242554130444116,1000,-18.62055175344617,-18.712567987167795,-29.284298391663413,-7.9488373979023015,1000
Guizhou Province,13.537267060346762,1.7879456257730018,1.7991761269700857,1.2332878984469717,2.951379536710801,1000,-18.58088036433765,-18.67381918250304,-29.257329234088434,-7.912906830074802,1000
Guizhou Province,13.729255129864352,1.7959679236122619,1.808559442545595,1.2351429249617174,2.9777624524413273,1000,-18.54235258154903,-18.62937646417043,-29.231529709833467,-7.878108370653372,1000
Guizhou Province,13.923966010321017,1.804074784902825,1.8153327248532505,1.2370155161252994,3.00430417149961,1000,-18.5049391228514,-18.56823608759789,-29.20686845869042,-7.844412571215785,1000
Guizhou Province,14.121438317133991,1.8122669400399007,1.8210519899012358,1.2389057090838425,3.031177826561731,1000,-18.46861161230964,-18.532042730855952,-29.18331509792116,-7.811790903064968,1000
Guizhou Province,14.321711213371648,1.8205451283184162,1.8308637366636111,1.2408135415015962,3.0588239662861545,1000,-18.43334254656446,-18.504754171712158,-29.160820827943432,-7.780215722758265,1000
Guizhou Province,14.524824417520344,1.8289100980399609,1.838030498783668,1.2427390515659915,3.0865203855268755,1000,-18.399105262589458,-18.478405235643894,-29.138395205078204,-7.749660239156649,1000
Guizhou Province,14.730818211361496,1.837362606620635,1.8475996517118158,1.244242206891381,3.114606019017526,1000,-18.365873906846716,-18.44420025164745,-29.116993083201177,-7.720098481910386,1000
Guizhou Province,14.939733447960323,1.8459034207001614,1.8560826277056166,1.2439833625196528,3.1430866774646886,1000,-18.333623405772546,-18.383135558803538,-29.08749797877317,-7.691505271314471,1000
Guizhou Province,15.151611559767899,1.8545333162521318,1.8641591069046992,1.2437231917996654,3.1710777638633165,1000,-18.302329437528424,-18.356705797237318,-29.03328563988416,-7.663856189464434,1000
Guizhou Province,15.36649456683814,1.8632530786953967,1.8725271535832868,1.2451122467558928,3.1973320108336436,1000,-18.271968404951384,-18.31673349286939,-28.97960892707357,-7.637127552644885,1000
Guizhou Province,15.584425085161254,1.872063503006664,1.8805684722645568,1.2466308394712837,3.2239034059900793,1000,-18.24251740964806,-18.27920943209005,-28.9268033767493,-7.611296384894829,1000
Guizhou Province,15.80544633511545,1.8809653938344837,1.8882378305651288,1.2469789619452198,3.250796002781286,1000,-18.21395422717743,-18.282877739543757,-28.875087769192792,-7.586340392687709,1000
