province,return_period,factual_original,factual_bootstrap_median,factual_lower_95,factual_upper_95,factual_valid_bootstraps,counterfactual_original,counterfactual_bootstrap_median,counterfactual_lower_95,counterfactual_upper_95,counterfactual_valid_bootstraps
Chongqing Municipality,600.1553448738425,-1.8421785874123497,-1.8315590608952714,-2.0102329005579347,-1.650291428789407,1000,-1.6661997313452508,-1.658368034832893,-1.8425813099840285,-1.5065373905040482,1000
Chongqing Municipality,614.154884661536,-1.8466797509057147,-1.8358565998882184,-2.015792594351668,-1.6541412031878087,1000,-1.6701097344832552,-1.6622072994874566,-1.8474174812738282,-1.5095336742022842,1000
Chongqing Municipality,628.480985090472,-1.8511725215637613,-1.840145680623957,-2.0213441732310082,-1.6579867715524967,1000,-1.674011320061254,-1.6661589570091155,-1.8522379072395598,-1.5125220300357893,1000
Chongqing Municipality,643.1412636862285,-1.8556569468533721,-1.8447038832414353,-2.0268876792586963,-1.6614854265338659,1000,-1.6779045385568134,-1.6701065746383592,-1.8570499300287826,-1.5155025102566084,1000
Chongqing Municipality,658.1435156647983,-1.8601330737991637,-1.8493225751571423,-2.0324231541267914,-1.6648720601148927,1000,-1.6817894399585065,-1.6740229283612305,-1.8618535958656455,-1.5184751665763694,1000
Chongqing Municipality,673.4957180774888,-1.864600948989196,-1.8537044817605053,-2.0379506391612714,-1.6682507889306737,1000,-1.6856660737724125,-1.6778851086550146,-1.8666489505518382,-1.5214400501738428,1000
Chongqing Municipality,689.2060340525119,-1.869060618580592,-1.8582176244198574,-2.043470175326554,-1.6716279922585024,1000,-1.6895344890285124,-1.6817623986290409,-1.871436039471964,-1.5243972117023663,1000
Chongqing Municipality,705.2828171355064,-1.87351212830506,-1.862593800958242,-2.048981803229948,-1.6749981527976276,1000,-1.693394734286973,-1.6855916636710933,-1.876214907598828,-1.5273477313458912,1000
Chongqing Municipality,721.7346157313193,-1.877955523474332,-1.867093697831586,-2.054485563126031,-1.678360555163848,1000,-1.697246857644326,-1.68933789338743,-1.8809855994986338,-1.5303022300298428,1000
Chongqing Municipality,738.5701776493927,-1.8823908489855068,-1.8715847557650733,-2.059981494920966,-1.6817152467092735,1000,-1.701090906739548,-1.6930760075729943,-1.8857449599408906,-1.533249157978963,1000
Chongqing Municipality,755.798454755181,-1.8868181493263154,-1.8760183342353396,-2.0654696381767423,-1.685062274324763,1000,-1.704926928760033,-1.6968060543372205,-1.8904932023176948,-1.5361885636981796,1000
Chongqing Municipality,773.4286077300679,-1.8912374685802875,-1.8804134907463836,-2.070950032115351,-1.6884016844460528,1000,-1.7087549704474725,-1.7005280813307113,-1.895233388406681,-1.5391204952041242,1000
Chongqing Municipality,791.4700109423204,-1.8956488504318503,-1.8847304582163247,-2.0764227156228987,-1.6917335230597867,1000,-1.7125750781036344,-1.7043676313031961,-1.8998041327440496,-1.5420450000317867,1000
Chongqing Municipality,809.9322574316561,-1.9000523381713337,-1.8891801210588477,-2.0819516160235056,-1.6950578357094388,1000,-1.7163872975960497,-1.708199710619985,-1.9041920881725531,-1.5452743583431248,1000
Chongqing Municipality,828.8251640100926,-1.9044479746998997,-1.893526030152261,-2.0873553379495022,-1.6983746675011415,1000,-1.720191674363602,-1.7120235322684265,-1.9085716168638889,-1.5485377644972627,1000
