Province,Return_period,RR_bootstrap_median,RR_lower_95,RR_upper_95,RIC_bootstrap_median,RIC_lower_95,RIC_upper_95
Sichuan Province,56.93257725438844,2104.4041326899496,83.82803837831077,1000000.0,61.65355194160716,51.46366094312523,74.57129540015562
Sichuan Province,57.74000578121039,2143.595374119577,83.87037231699341,1000000.0,61.58030179091903,51.35257930173961,74.53623570498662
Sichuan Province,58.55888541137887,2180.133382765104,83.91018185213015,1000000.0,61.50713142874563,51.241634971614566,74.51092798300428
Sichuan Province,59.38937854659699,2217.3107255740174,83.94747035828833,1000000.0,61.437856064070274,51.13130263692348,74.46603817905314
Sichuan Province,60.231649891779306,2255.729963150149,83.98224139487532,1000000.0,61.38025921678361,51.022096687688695,74.43700217231181
Sichuan Province,61.085866487716494,2296.0182008363763,84.01449870531263,1000000.0,61.318796625214944,50.939221067245725,74.41212719043779
Sichuan Province,61.95219774420314,2337.0577191001603,84.04424621618989,1000000.0,61.2607160785503,50.871092321199534,74.38732174177177
Sichuan Province,62.83081547363551,2378.8633465985477,84.07148803639619,1000000.0,61.19696212816387,50.80311204626966,74.36258540530142
Sichuan Province,63.72189392508554,2421.450222595779,84.0962284562289,1000000.0,61.13013860384781,50.72719501520529,74.33791776419555
Sichuan Province,64.6256098188583,2464.8338038751654,84.11847194647926,1000000.0,61.06396544185945,50.62699626488495,74.31331840574752
Sichuan Province,65.5421423815395,2509.029871814523,84.13822315749552,1000000.0,61.01225789860317,50.52694311371686,74.28878692132002
Sichuan Province,66.47167338154003,2554.054539628982,84.15548691823037,1000000.0,60.95768067247333,50.42703535524519,74.26432290629046
Sichuan Province,67.41438716514465,2599.924259785369,84.1702682352586,1000000.0,60.89463434687782,50.3272727840518,74.2399259599976
Sichuan Province,68.37047069307174,2648.0498248076738,84.18257229177894,1000000.0,60.82984500908182,50.22765519573404,74.2155956856889
Sichuan Province,69.34011357755182,2686.31885050405,84.19240444659123,1000000.0,60.77235416783573,50.12818238688285,74.19219231303363
Sichuan Province,70.32350811993174,2735.5232393774327,84.19977023306033,1000000.0,60.71211325357791,50.02885415506099,74.1830847500484
Sichuan Province,71.32084934881225,2797.1065585890365,84.20467535805086,1000000.0,60.63846331851916,49.929670298782725,74.17403723933148
Sichuan Province,72.33233505872647,2855.74991994605,84.20712570084359,1000000.0,60.5746098944477,49.830630617492595,74.16504937628369
Sichuan Province,73.35816584936677,2910.3308518358062,84.20712731203912,1000000.0,60.51881442321077,49.73173491154581,74.15612076001926
Sichuan Province,74.39854516536812,2966.0204453555907,84.2046864124315,1000000.0,60.46310070844169,49.63298298218805,74.147250993319
Sichuan Province,75.4536793366556,3022.842791192599,84.19980939186915,1000000.0,60.40746849467915,49.53437463153644,74.138540084605
Sichuan Province,76.52377761936408,3078.051043912486,84.19250280809503,1000000.0,60.359001834052094,49.43590966256025,74.13019238457255
Sichuan Province,77.60905223733846,3127.8019455689564,84.1827733855679,1000000.0,60.31136330109739,49.33758787906283,74.12190253702671
Sichuan Province,78.70971842422203,3186.940224848945,84.17062801426442,1000000.0,60.26867532108633,49.23940908566282,74.11367015579293
Sichuan Province,79.82599446614215,3250.4541112445713,84.1560737484617,1000000.0,60.22029314370502,49.14137308777656,74.10549485816588
Sichuan Province,80.95810174500113,3315.328040203297,84.13911780550683,1000000.0,60.16615334546479,49.04347969160093,74.09737626486714
Sichuan Province,82.10626478238105,3370.653067315033,84.11976756456062,1000000.0,60.10709179347532,48.94572870409563,74.08931400000328
Sichuan Province,83.27071128407144,3418.6114501296956,84.09803056533146,1000000.0,60.05839292502801,48.84811993296678,74.08130769102452
Sichuan Province,84.45167218522809,3465.98735748991,84.07391450678685,1000000.0,60.01262198570954,48.750653186650645,74.07335696868418
Sichuan Province,85.64938169617268,3522.229536617526,84.04820994592437,1000000.0,59.9629401761545,48.65347947024756,74.06546146699884
Sichuan Province,86.86407734884176,3586.4954826266044,84.0206281191106,1000000.0,59.91747799281342,48.562272137941356,74.05762082320902
Sichuan Province,88.09600004389442,3652.037409099047,83.99069810203761,1000000.0,59.870228700856856,48.47118440091359,74.04983467774028
Sichuan Province,89.34539409848846,3718.8837474840325,83.95842809835571,1000000.0,59.83728705396423,48.380215959657846,74.04210267416539
Sichuan Province,90.61250729473338,3790.97691742233,83.92382646358023,1000000.0,59.793284503727214,48.28936651716173,74.03442445916649
Sichuan Province,91.89759092883128,3869.4901984238886,83.88690170372502,1000000.0,59.737538546479286,48.19863577887054,73.95922069850354
Sichuan Province,93.20089986091428,3940.582880102288,83.84766247392699,1000000.0,59.672696650689126,48.10802345265105,73.8433868134676
Sichuan Province,94.52269256558895,4013.107035803586,83.80611757704453,1000000.0,59.60384974127152,48.01788411500627,73.8243172635803
Sichuan Province,95.86323118319729,4078.508395914403,83.76227596225532,1000000.0,59.535089620482566,47.928234778073715,73.80529983786765
Sichuan Province,97.22278157180497,4138.741441497718,83.7161467236266,1000000.0,59.47247589386518,47.85427308481462,73.78633425852297
Sichuan Province,98.60161335992683,4199.826958030719,83.66773909867844,1000000.0,59.40948476009014,47.77490702778975,73.76742025021746
Sichuan Province,100.0,4261.776521082473,83.61706246693635,1000000.0,59.34657248311358,47.661270673025456,73.74855754006981
Hunan Province,3.0,94.35078161970243,22.335103290959772,1132.7624029889494,62.42295817309335,56.44422442082766,87.11087253375695
Hunan Province,3.04254656467847,96.93746521841487,22.465035099789045,1225.6319014032015,62.32286660217262,56.309863755899784,87.04313982920674
Hunan Province,3.0856965327455863,99.55896691790448,22.536188670595934,1327.3526954841655,62.212894189674245,56.17672715562922,86.97175807738557
Hunan Province,3.129458461781783,102.25893049664509,23.510921400915134,1436.920438996763,62.1038941851384,56.044553696939786,86.89684882171426
Hunan Province,3.1738410307327114,104.9632509214172,24.890978918754023,1547.9038949969995,61.99498455114465,55.92808953035251,86.81852923496746
Hunan Province,3.2188530416304615,107.83344421465634,26.350988465251394,1668.3993113353295,61.87541249220996,55.82173500999876,86.73691230428
Hunan Province,3.2645034213392017,110.76300065289233,27.895520695547845,1845.8976580653596,61.77395240162689,55.715892019158076,86.32375558989686
Hunan Province,3.310801223325567,113.73846430543685,29.339967895566712,2017.9740774946802,61.66666774952344,55.753861724879954,85.73131303964036
Hunan Province,3.3577556294541595,116.7363255566915,29.661945413009253,2279.2180711937194,61.57988451247424,55.84543196330997,85.64268272682206
Hunan Province,3.405375951808516,119.79255978236249,29.985521510940988,2583.068207153941,61.48123007607464,55.720470249346164,85.55127311257279
Hunan Province,3.453671634537891,122.79739588592577,30.31072395108443,2938.0064382439377,61.38588490249276,55.59655529330462,85.45718182557225
Hunan Province,3.502652255730246,126.13288700199956,30.637580539730052,3329.10285468994,61.29288225137475,55.47366500732441,85.3605027573711
Hunan Province,3.552327529311785,129.36098386737012,30.9661191362431,3778.599986444672,61.198928898282446,55.35177802912972,82.77121391997922
Hunan Province,3.6027073069734423,132.66447739497357,31.296367661284943,4432.874857510557,61.09163252301114,55.232711305311824,82.2580135833972
Hunan Province,3.65380158012469,136.21830001250737,31.628354104766778,5139.5485141485315,60.984294729058064,55.112999242915585,81.76428910262803
Hunan Province,3.7056204818750467,140.1076018563304,31.962775031376392,5964.676252650927,60.87358987396344,55.03923286947082,81.28936342509621
Hunan Province,3.7581742890437,143.70276295632942,32.323254008578765,6604.034755675469,60.76973216494694,54.697882764598496,81.01713361802342
Hunan Province,3.811473424197621,147.15937388951198,32.686673841519976,7560.773551873715,60.676639954381116,54.58421708907106,80.88324501928423
